S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party Name,State Name
1,Anakapalle(5),C.M.RAMESH,762069,296530,Bharatiya Janata Party,Andhra Pradesh
2,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,Bharatiya Janata Party,Andhra Pradesh
3,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Bharatiya Janata Party,Andhra Pradesh
4,Arunachal West(1),KIREN RIJIJU,205417,100738,Bharatiya Janata Party,Arunachal Pradesh
5,Arunachal East(2),TAPIR GAO,145581,30421,Bharatiya Janata Party,Arunachal Pradesh
6,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012,Bharatiya Janata Party,Assam
7,Guwahati(5),BIJULI KALITA MEDHI,894887,251090,Bharatiya Janata Party,Assam
8,Diphu(6),AMARSING TISSO,334620,147603,Bharatiya Janata Party,Assam
9,Karimganj(7),KRIPANATH MALLAH,545093,18360,Bharatiya Janata Party,Assam
10,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311,Bharatiya Janata Party,Assam
11,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947,Bharatiya Janata Party,Assam
12,Sonitpur(11),RANJIT DUTTA,775788,361408,Bharatiya Janata Party,Assam
13,Lakhimpur(12),PRADAN BARUAH,663122,201257,Bharatiya Janata Party,Assam
14,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321,Bharatiya Janata Party,Assam
15,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568,Bharatiya Janata Party,Bihar
16,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287,Bharatiya Janata Party,Bihar
17,Madhubani(6),ASHOK KUMAR YADAV,553428,151945,Bharatiya Janata Party,Bihar
18,Araria(9),PRADEEP KUMAR SINGH,600146,20094,Bharatiya Janata Party,Bihar
19,Darbhanga(14),GOPAL JEE THAKUR,566630,178156,Bharatiya Janata Party,Bihar
20,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927,Bharatiya Janata Party,Bihar
21,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651,Bharatiya Janata Party,Bihar
22,Saran(20),RAJIV PRATAP RUDY,471752,13661,Bharatiya Janata Party,Bihar
23,Ujiarpur(22),NITYANAND RAI,515965,60102,Bharatiya Janata Party,Bihar
24,Begusarai(24),GIRIRAJ SINGH,649331,81480,Bharatiya Janata Party,Bihar
25,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846,Bharatiya Janata Party,Bihar
26,Nawada(39),VIVEK THAKUR,410608,67670,Bharatiya Janata Party,Bihar
